"id","name","release_date","total_tracks","images","artist_1","artist_2"
"7mxSvZIgElLmVTdUfVNQFz","DIRTIESTNASTIEST$UICIDE","2022-12-16",7,"https://i.scdn.co/image/ab67616d00001e02299bb23855df7f9910ce7bcd","$uicideboy$","Germ"
"5DB1iZhsT1tT0dXuQy3ZgT","DIRTIESTNASTIEST$UICIDE","2022-12-14",7,"https://i.scdn.co/image/ab67616d00001e024c736a03e35e61841da5312e","$uicideboy$","Germ"
"3elJRIffdqvypuxoDND2Q3","Sing Me a Lullaby, My Sweet Temptation","2022-07-29",13,"https://i.scdn.co/image/ab67616d00001e02db20089661aff3a8070600ca","$uicideboy$",NA
"79Foslcddo5HKS7sQ667kA","Sing Me a Lullaby, My Sweet Temptation","2022-07-27",13,"https://i.scdn.co/image/ab67616d00001e0219488f7fd8a0539538846f2c","$uicideboy$",NA
"3dgsCZMswt6TWbsKcMgoO2","Long Term Effects of SUFFERING","2021-08-13",13,"https://i.scdn.co/image/ab67616d00001e02b25093d7ccdce4a848988f9e","$uicideboy$",NA
"6YctBG4EQAfFifSde2bycf","Long Term Effects of SUFFERING","2021-08-12",13,"https://i.scdn.co/image/ab67616d00001e025ee23a59cac369423cf0fde4","$uicideboy$",NA
"7rKmLxCFlmtIxGpX4HYgs4","Stop Staring At the Shadows","2020-02-14",12,"https://i.scdn.co/image/ab67616d00001e02e2bab14ce82f78a4160376a1","$uicideboy$",NA
"2ivOxIKDHxEo6WMD9m3ytn","I Want to Die In New Orleans","2018-09-07",14,"https://i.scdn.co/image/ab67616d00001e029db03c8368f127291ced4263","$uicideboy$",NA
"2hAoB9uIsHVFABuuOREFmB","Eternal Grey","2016-09-11",14,"https://i.scdn.co/image/ab67616d00001e0209c67f4a00626c5dfacbdf6f","$uicideboy$",NA
"1aVnxqszPG45yn2nFsVQRS","Grey Sheep II","2016-05-25",7,"https://i.scdn.co/image/ab67616d00001e028abb1b7abadd031c551aaa8c","$uicideboy$",NA
"3blujlZ2W1BZAM9KcHrbP8","Dark Side of the Clouds","2016-02-03",11,"https://i.scdn.co/image/ab67616d00001e0254c0c1ea300d471e9eb90ae9","$uicideboy$",NA
"12RWpV5WUjYo4SisuFWMNK","Now the Moon's Rising","2015-11-20",10,"https://i.scdn.co/image/ab67616d00001e02eede8ca62134dd7bdecb6085","$uicideboy$",NA
"2VrpzWjnsiELWKXOJAFhme","My Liver Will Handle What My Heart Can't","2015-09-21",13,"https://i.scdn.co/image/ab67616d00001e02dcff3103179d992594a227db","$uicideboy$",NA
"3bZ9pTGwh1vPskRRf9uymq","Grey Sheep","2015-07-22",7,"https://i.scdn.co/image/ab67616d00001e027e977572c5271666dc76cb9a","$uicideboy$",NA
"7gMzKwKAsbooGeKgDlX2TL","High Tide in the Snake's Nest","2015-06-15",10,"https://i.scdn.co/image/ab67616d00001e029170408b39b66a6185f6534a","$uicideboy$",NA
"4CUUYKJvxsH5E18kkPQofa","YUNGDEATHLILLIFE","2015-05-08",13,"https://i.scdn.co/image/ab67616d00001e0208459c90026555f846559fcc","$uicideboy$",NA
"4BqLJSu0S1KEsA6DBbJ9L4","7th or St. Tammany","2015-04-02",12,"https://i.scdn.co/image/ab67616d00001e022417400ddf7445276814eeb6","$uicideboy$",NA
"6qE8RypecFnjWniIBGqzTd","Black $uicide Side B: $uicide Hustle","2015-04-01",7,"https://i.scdn.co/image/ab67616d00001e02cc6f5d2586e3322f9ef57605","$uicideboy$","Black Smurf"
"3uOjCKXJFyF5hbWz7mGYrr","Gray/Grey","2015-03-03",12,"https://i.scdn.co/image/ab67616d00001e02828e3c89d67979fc678be0bb","$uicideboy$",NA
"65I0VGQ3pd2cH2nRhnmuwZ","KILL YOURSELF Part X: The Resurrection Saga","2015-01-24",7,"https://i.scdn.co/image/ab67616d00001e022e80064fdcec0671df57a29f","$uicideboy$",NA
