"genius_id","section_name","section_artist","line"
8238944,"Intro","Freddy Krueger","Hey, you, yeah, I'm talkin' to you"
8238944,"Intro","Freddy Krueger","Get over here, I said, ""Get over here"""
8238944,"Intro","Freddy Krueger","Much better chump, ahaha"
8238944,"Intro","Freddy Krueger","You know they say that money is the root of all evil"
8238944,"Intro","Freddy Krueger","Oh, no wonder I love it so much"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","Fuck an-fuck an introduction, bitch, you already know"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","$uicide death row, $uicide death row"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","Fuck an-fuck an introduction, bitch, you already know"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","$uicide death row, ridin' slow-mo in a four"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","Fuck an-fuck an introduction, bitch, you already know"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","$uicide death row, $uicide death row"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","Fuck an-fuck an introduction, bitch, you already know"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","$uicide death row, ridin' slow-mo in a four"
8238944,"Verse 1","Ruby da Archangel","Ayy, sold my soul to the Grey, became a household name"
8238944,"Verse 1","Ruby da Archangel","I claimed my grave and chained my name"
8238944,"Verse 1","Ruby da Archangel","I'm out the game, I don't play to win"
8238944,"Verse 1","Ruby da Archangel","I don't play at all and win by default"
8238944,"Verse 1","Ruby da Archangel","I climbed to the top just to see how far down I would fall (Yikes)"
8238944,"Verse 1","Ruby da Archangel","Looked up at the heavens and thought it looked small"
8238944,"Verse 1","Ruby da Archangel","Below me, a valley of demons constantly schemin'"
8238944,"Verse 1","Ruby da Archangel","I look back down, thinking ""Fuck all of y'all"""
8238944,"Verse 1","Ruby da Archangel","I came into this world as an accident"
8238944,"Verse 1","Ruby da Archangel","Blazin' trails just to get a whiff of that blackened scent"
8238944,"Verse 1","Ruby da Archangel","Pull up in the Porsche if the Benz got in an accident (Fuck)"
8238944,"Verse 1","Ruby da Archangel","I'ma have to get my car wrapped again"
8238944,"Verse 1","Ruby da Archangel","I'm back again, back against the wall"
8238944,"Verse 1","Ruby da Archangel","Tryna live it up before the curtain falls"
8238944,"Verse 1","Ruby da Archangel","White knuckle grip holdin' up my Grey cabal"
8238944,"Verse 1","Ruby da Archangel","Any questions? Give one of my managers a call (Bitch)"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","Fuck an-fuck an introduction, bitch, you already know"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","$uicide death row, $uicide death row"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","Fuck an-fuck an introduction, bitch, you already know"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","$uicide death row, ridin' slow-mo in a four"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","Fuck an-fuck an introduction, bitch, you already know"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","$uicide death row, $uicide death row"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","Fuck an-fuck an introduction, bitch, you already know"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","$uicide death row, ridin' slow-mo in a four"
8238944,"Verse 2","Lil Apache","Used to hide from the pigs, now it's the IRS"
8238944,"Verse 2","Lil Apache","Wetto still white trash, fuck all the alphabets"
8238944,"Verse 2","Lil Apache","Ain't a damn thing changed but the change I got"
8238944,"Verse 2","Lil Apache","All these chains came from pain and the blame I rock"
8238944,"Verse 2","Lil Apache","Just gimme the drop, gimme the spot"
8238944,"Verse 2","Lil Apache","Give me the time, give me the place"
8238944,"Verse 2","Lil Apache","Ringin' the nine, bringin' the mob"
8238944,"Verse 2","Lil Apache","Keepin' the iron by my waist"
8238944,"Verse 2","Lil Apache","Off of the lines like a race"
8238944,"Verse 2","Lil Apache","My decline gave me space"
8238944,"Verse 2","Lil Apache","To get my mind to redefine what the fuck I'm lookin' for today"
8238944,"Verse 2","Lil Apache","So it's fuck an intro, fuck what you think you know"
8238944,"Verse 2","Lil Apache","""$crim was better on dope"" (Fuck, I heard that before)"
8238944,"Verse 2","Lil Apache","Pullin' crowds like the pope, heard you broke and it shows"
8238944,"Verse 2","Lil Apache","I won't say no names, though, but he got a cameo (Oh)"
8238944,"Verse 2","Lil Apache","$uicide 'till the murder show (Grey-grey)"
8238944,"Verse 2","Lil Apache","Been gettin' head all around the globe"
8238944,"Verse 2","Lil Apache","Backstage hoes, tell 'em, ""Tally-ho!"" (Maybe Oddy, though)"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","Fuck an-fuck an introduction, bitch, you already know"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","$uicide death row, $uicide death row"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","Fuck an-fuck an introduction, bitch, you already know"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","$uicide death row, ridin' slow-mo in a four"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","Fuck an-fuck an introduction, bitch, you already know"
8238944,"Chorus","ODDY NUFF DA $NOW LEOPARD","$uicide death row, $uicide death row"
8243463,"Intro","Yung Christ","(You did good $lick)"
8243463,"Intro","Yung Christ","(It's a Smash!)"
8243463,"Intro","Yung Christ","Wetto, Wetto, Wetto"
8243463,"Intro","Yung Christ","Wetto, Wetto, Wetto"
8243463,"Intro","Yung Christ","Wet, wet, wet, wet, wet, wet, wet"
8243463,"Verse 1","Yung Christ","I got the Glock in my yoga pants"
8243463,"Verse 1","Yung Christ","Fucking that bitch in a yoga stance"
8243463,"Verse 1","Yung Christ","Swangin' that K' with an open stance"
8243463,"Verse 1","Yung Christ","Loaded from smoking that opium"
8243463,"Verse 1","Yung Christ","Stain a lil' boy in the clothes he's in"
8243463,"Verse 1","Yung Christ","All of my walls, they closing in"
8243463,"Verse 1","Yung Christ","51/50, they tryna come get me"
8243463,"Verse 1","Yung Christ","Just minding my business and moseying"
8243463,"Verse 1","Yung Christ","Matte black, smokin' packs"
8243463,"Verse 1","Yung Christ","Panic attacks, back to back"
8243463,"Verse 1","Yung Christ","Xanax on my lap, debating, should I relapse?"
8243463,"Verse 1","Yung Christ","But back to the hoe I was talkin' 'bout"
8243463,"Verse 1","Yung Christ","I just wanna put it up in her mouth"
8243463,"Verse 1","Yung Christ","Pimping up in my blood, what's up cuz?"
8243463,"Verse 1","Yung Christ","Thuggin' that dirty South"
8243463,"Verse 1","Yung Christ","Four letters, two numbers, bitch, Grey*59"
8243463,"Verse 1","Yung Christ","Three fingers in the air, main bitch by my side"
8243463,"Verse 1","Yung Christ","$licky pull up in a quartеr mill' and slaughter up your daughter"
8243463,"Verse 1","Yung Christ","Yung Jesus with thеm Forgi wheels don't walk, he drive on water"
8243463,"Verse 1","Yung Christ","Anytime, any place, any hood, any state"
8243463,"Verse 1","Yung Christ","Good 'til it fuckin' ain't, woods to the fucking face"
8243463,"Verse 1","Yung Christ","Ridin' with my baby sage, lines on expensive plates"
8243463,"Verse 1","Yung Christ","Tears on my diamond chains, stoic, never looking phased"
8243463,"Verse 1","Yung Christ","Poet when I'm spitting game (Game)"
8243463,"Verse 1","Yung Christ","Show me how that pussy shaved (Shaved)"
8243463,"Verse 1","Yung Christ","Dosage climbin' with my shame (Shame)"
8243463,"Verse 1","Yung Christ","Mama crying for my pain (Pain)"
8243463,"Verse 1","Yung Christ","Will they ever understand? (No)"
8243463,"Verse 1","Yung Christ","Can I even help my dad? (No)"
8243463,"Verse 1","Yung Christ","Money fuckin' up my fam', giving until there's nothing left"
8243463,"Verse 1","Yung Christ","Pulling up in that latest (Damn!)"
8243463,"Verse 1","Yung Christ","Choppa stay on me, don't need no hands"
