"id","time_signature","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"49YpGS0rVcRLtiDvx5JQyp",4,0.787,0.889,2,-3.125,1,0.128,0.00951,3.22e-4,0.652,0.677,156.027,172400
"5dol1hrERJOReznLRJ2VVQ",4,0.759,0.833,11,-5.01,1,0.0779,2.6e-4,0.0573,0.178,0.522,140.026,183919
"3QQXpvZd9qmzHZ02wDf2im",4,0.84,0.934,0,-3.717,1,0.119,0.0484,0,0.0961,0.67,149.994,145843
"1UsvO5U72YRU8Xnq8Lp14O",4,0.894,0.767,10,-4.695,0,0.137,0.0231,2.36e-5,0.574,0.412,144.077,140289
"2CkpD7gqMXrrpTCJ9TZ0bw",4,0.78,0.78,0,-2.857,1,0.0858,0.00147,0,0.472,0.446,118.014,177290
"1xIibyoUvyxwoNqx8quHSz",4,0.683,0.969,0,-3.29,1,0.171,2.75e-4,0.126,0.94,0.595,170.017,226932
"67IECOggWzBnCERhbOlTRp",4,0.655,0.782,8,-6.825,1,0.392,0.0105,0.00367,0.12,0.372,167.003,164723
"2UbMJbQq6G0TJnmnubgolV",4,0.55,0.762,0,-7.861,1,0.32,0.0109,0.00179,0.398,0.347,200.211,162138
"0hPRWztAIbNkt6GcFcLiqF",4,0.877,0.826,10,-3.75,0,0.206,0.122,1.05e-5,0.104,0.814,75.003,238146
"2gkVweydDn7MmHmqXAlEzk",4,0.752,0.807,11,-4.386,1,0.172,0.0146,3.76e-4,0.8,0.442,87.507,195994
"09riz9pAPJyYYDVynE5xxY",4,0.83,0.698,5,-6.517,0,0.077,0.224,1.02e-6,0.191,0.595,132.99,175476
"1TnfJHuRolxBBbweTa3qby",4,0.707,0.672,6,-6.186,1,0.0864,0.113,1.03e-5,0.103,0.326,129.951,158517
"12SqxMqtStXppn5fjDYr45",4,0.796,0.56,6,-6.135,1,0.238,0.127,1.36e-6,0.292,0.698,149.884,141043
"0GX0o6zfRAE50vvFoQQIph",4,0.832,0.911,7,-4.068,1,0.238,0.263,1.47e-4,0.0865,0.557,159.865,97301
"0dKrkVDKJZHI787AaxmgQ0",4,0.853,0.719,11,-3.599,0,0.146,0.0851,0,0.178,0.628,152.029,142669
"5yshqP8Dvk7JmHeJ5BiLyP",4,0.796,0.653,1,-3.644,1,0.292,0.0373,0.00564,0.242,0.386,152.051,227505
